date,open,high,low,close,sma 8,sma 21,sma 34,sma 89,sma 233,stddev,-3s,-2s,+2s,+3s,RCI
2018/3/14,21764.99,21881.09,21684.02,21777.29,21514.9,21697.7,22064.4,22607.5,22351.7,372.4,20580.5,20952.9,22442.5,22814.9,-12.1
2018/3/15,21704.14,21825.97,21555.49,21803.95,21610.1,21728.6,22009.5,22600.6,22346.8,351.4,20674.5,21025.8,22431.4,22782.7,-24.2
2018/3/16,21876.53,21879.28,21632.85,21676.51,21642.5,21738.7,21952,22590.9,22340.8,346.4,20699.4,21045.8,22431.6,22778,-37.1
2018/3/19,21537.9,21659.04,21366.88,21480.9,21671,21727.3,21888.8,22578.9,22333.2,351,20674.3,21025.3,22429.3,22780.3,-45.5
2018/3/20,21297.98,21384.86,21223.97,21380.97,21672.6,21690.7,21832.6,22561.4,22324.8,344.8,20656.3,21001.1,22380.3,22725.1,-41.7
2018/3/22,21352.16,21592,21349.71,21591.99,21688,21674.8,21788.3,22546.6,22318.4,341.1,20651.5,20992.6,22357,22698.1,-37.1
2018/3/23,21188.8,21188.8,20559.61,20617.86,21537.2,21610.4,21703.9,22521.3,22303.8,404.3,20397.4,20801.7,22419.1,22823.4,-38.7
2018/3/26,20423.37,20766.1,20347.49,20766.1,21386.9,21564.2,21630.1,22499.8,22290.6,442.8,20235.8,20678.6,22449.8,22892.6,-46.9
2018/3/27,20958.9,21317.32,20943.31,21317.32,21329.4,21536.8,21590,22487.8,22282.4,439.3,20219,20658.3,22415.3,22854.6,-43.1
2018/3/28,20893.05,21031.31,20776.82,21031.31,21232.9,21483.4,21573,22472.7,22271.9,428.6,20197.6,20626.2,22340.6,22769.2,-42.6
2018/3/29,21250.96,21298.57,20996.22,21159.08,21168.2,21424.7,21558.7,22462.9,22262.6,379.8,20285.2,20665.1,22184.3,22564.2,-39.4
2018/3/30,21392.42,21512.8,21311.5,21454.3,21164.9,21395.5,21545.8,22452.8,22255.9,350.3,20344.6,20694.9,22096.1,22446.4,-25.5
2018/4/2,21441.57,21597.47,21388.58,21388.58,21165.8,21379.5,21546,22441.5,22248.8,342.1,20353.2,20695.3,22063.7,22405.8,-16.9
2018/4/3,21115.48,21333.5,21056.02,21292.29,21128.4,21384.8,21547.4,22430.6,22241,339.7,20365.6,20705.3,22064.3,22404,-28.2
2018/4/4,21415.85,21415.85,21238.18,21319.55,21216.1,21398,21552.3,22418.3,22233.6,331,20404.9,20735.9,22060.1,22391.1,-43.4
2018/4/5,21541.18,21737.66,21462.1,21645.42,21326,21408.8,21557.6,22408.4,22228.9,335.4,20402.6,20738,22079.6,22415,-34.9
2018/4/6,21633.73,21742.84,21550.42,21567.52,21357.3,21423.8,21553.1,22397.4,22223.7,335.1,20418.5,20753.6,22094,22429.1,-40.1
2018/4/9,21534.33,21737.09,21517.77,21678.26,21438.1,21438.6,21539.2,22388.2,22219.4,339.3,20420.6,20759.9,22117.3,22456.6,-36.9
2018/4/10,21599.67,21933.99,21542.37,21794.32,21517.5,21454.1,21535.4,22380.4,22216,348.1,20409.8,20757.9,22150.3,22498.4,-28.1
2018/4/11,21819.09,21837.36,21687.1,21687.1,21546.6,21447.6,21527,22370.2,22211.9,342.1,20421.4,20763.5,22131.7,22473.8,-8.4
2018/4/12,21657.87,21719.43,21591.39,21660.28,21580.6,21432.9,21524.8,22358.2,22207.7,324.8,20458.5,20783.3,22082.5,22407.3,10.6
2018/4/13,21801.41,21917.35,21746.69,21778.74,21641.4,21433,21521.5,22346.5,22204.4,324.9,20458.4,20783.2,22082.8,22407.6,32.5
2018/4/16,21843.55,21879.69,21775.61,21835.53,21705.9,21434.5,21512.1,22336.7,22201.6,326.8,20454.2,20781,22088,22414.8,59.7
2018/4/17,21801.83,21889.89,21772.42,21847.59,21731.2,21442.6,21496.1,22328,22199,335.1,20437.3,20772.4,22112.8,22447.9,75.7
