date,open,high,low,close,volume,adj.close,sma 8,sma 25,sma 90,stddev,-3s,-2s,+2s,+3s,RCI
2017-10-03,2295,2304,2210,2256,640300,2256,2241.5,2055.6,1282.6,322.9,1086.9,1409.8,2701.4,3024.3,66.3
2017-10-04,2296,2315,2234,2261,482100,2261,2246.8,2082.0,1299.9,310.9,1149.2,1460.1,2703.9,3014.8,60.5
2017-10-05,2270,2327,2188,2210,573000,2210,2247.2,2105.7,1316.2,296.3,1216.7,1513.0,2698.4,2994.7,52.6
2017-10-06,2260,2425,2250,2419,1509000,2419,2290.2,2133.0,1334.5,292.3,1256.1,1548.4,2717.6,3009.9,52.5
2017-10-10,2511,2539,2402,2440,2934900,2440,2317.0,2162.9,1353.2,283.5,1312.4,1595.9,2729.9,3013.4,51.8
2017-10-11,2420,2474,2340,2350,806500,2350,2321.6,2190.7,1370.9,265.1,1395.4,1660.5,2720.9,2986.0,47.7
2017-10-12,2349,2415,2304,2332,538700,2332,2321.6,2222.4,1388.4,229.0,1535.5,1764.5,2680.3,2909.3,39.9
2017-10-13,2340,2395,2265,2340,675400,2340,2326.0,2249.7,1405.9,197.2,1658.0,1855.2,2644.2,2841.4,32.2
2017-10-19,2735,2870,2641,2825,4198400,2825,2397.1,2295.6,1428.8,191.9,1719.9,1911.8,2679.4,2871.3,32.2
2017-10-20,2875,2918,2663,2687,2627600,2687,2450.4,2333.6,1450.3,169.4,1825.3,1994.7,2672.5,2841.9,32.1
2017-10-23,2787,2787,2648,2650,1329500,2650,2505.4,2358.2,1471.4,168.8,1851.7,2020.5,2695.9,2864.7,31.8
2017-10-24,2635,2729,2587,2681,697700,2681,2538.1,2364.1,1492.8,177.5,1831.5,2009.0,2719.2,2896.7,49.2
2017-10-25,2715,2777,2625,2644,1119700,2644,2563.6,2373.9,1513.8,186.1,1815.6,2001.7,2746.1,2932.2,61.8
2017-10-26,2621,2727,2611,2693,538000,2693,2606.5,2394.9,1535.3,191.4,1820.6,2012.0,2777.8,2969.2,62.0
2017-10-27,2750,2750,2673,2687,522700,2687,2650.9,2408.5,1556.8,199.8,1809.1,2008.9,2808.1,3007.9,70.7
