date,open,high,low,close,volume,adj.close,sma 5,sma 25,sma 50,stddev,-3s,-2s,+2s,+3s,RCI,RCI
2017/8/31,728,830,726,760,594000,760,724.6,671.5,677.6,33.2,571.9,605.1,737.9,771.1,550.9,50.9
2017/9/1,762,790,742,790,164500,790,740.8,677.4,678.4,40.3,556.6,596.9,757.9,798.2,555.7,55.7
2017/9/4,800,819,745,755,198700,755,749,681.5,679,42.7,553.3,596,767,809.7,561.6,61.6
2017/9/5,750,765,701,755,181500,755,755,685.5,680.3,44.8,551.1,595.9,775.1,819.9,566.8,66.8
2017/9/6,731,838,731,812,254400,812,774.4,691.4,681.7,51.2,537.8,589,793.8,845,572.7,72.7
2017/9/7,820,876,816,859,521900,859,794.2,698.8,683.9,61,515.9,576.9,820.7,881.7,578.3,78.3
2017/9/8,850,881,821,830,194700,830,802.2,704.8,686,66.2,506.1,572.4,837.2,903.5,584.4,84.4
2017/9/11,841,878,830,833,141600,833,817.8,712.5,688.6,69.5,503.9,573.4,851.6,921.1,586.7,86.7
2017/9/12,831,835,802,813,132700,813,829.4,718.7,690.6,71.3,504.7,576.1,861.3,932.7,589.2,89.2
2017/9/13,810,837,801,818,87500,818,830.6,724.3,693.1,73.5,503.9,577.3,871.3,944.7,592.2,92.2
2017/9/14,820,824,780,791,114900,791,817,729.2,695.6,73.7,508.2,581.9,876.5,950.2,592.7,92.7
2017/9/15,791,804,777,778,35200,778,806.6,733.9,697.5,72.8,515.4,588.2,879.6,952.4,591.4,91.4
2017/9/19,790,791,757,776,93800,776,795.2,739.1,699.3,70.9,526.4,597.3,880.9,951.8,588.9,88.9
2017/9/20,771,773,754,757,54000,757,784,744,700.7,67.6,541.3,608.9,879.1,946.7,583.8,83.8
2017/9/21,757,795,756,768,56800,768,774,749.5,702.8,63.4,559.2,622.6,876.4,939.8,578.7,78.7
2017/9/22,783,783,754,757,41800,757,767.2,754,704.6,59.6,575.2,634.8,873.2,932.8,571.6,71.6
2017/9/25,883,907,865,907,652900,907,793,764.9,709.5,61.7,579.9,641.6,888.2,949.9,571.6,71.6
2017/9/26,890,1030,883,1013,3792700,1013,840.4,779.8,716.6,74,557.8,631.8,927.8,1001.8,571.6,71.6
2017/9/27,977,1038,961,997,1917800,997,888.4,792.1,723.1,83.3,542.1,625.4,958.8,1042.1,571.7,71.7
2017/9/28,990,1057,983,1007,1009100,1007,936.2,804.6,729.8,91.2,531,622.2,987,1078.2,571.6,71.6
2017/9/29,986,995,941,957,458200,957,976.2,815.8,735.7,92,539.8,631.8,999.8,1091.8,571.2,71.2
2017/10/2,927,944,903,918,258600,918,978.4,824.2,740.9,91.4,550.1,641.5,1006.9,1098.3,570.4,70.4
2017/10/3,920,928,891,912,186900,912,958.2,832.1,746.4,90,562.1,652.1,1012.1,1102.1,569.2,69.2
2017/10/4,937,944,900,907,201700,907,940.2,839.4,751.7,88.3,574.5,662.8,1016,1104.3,567.2,67.2
2017/10/5,907,926,903,912,72400,912,921.2,847.3,757.1,85.5,590.8,676.3,1018.3,1103.8,565.1,65.1
2017/10/6,907,913,903,908,55600,908,911.4,853.2,762.4,84.3,600.3,684.6,1021.8,1106.1,565,65
2017/10/10,912,917,869,883,202500,883,904.4,856.9,767.1,83.5,606.5,690,1023.8,1107.3,565.6,65.6
2017/10/11,882,897,869,869,110300,869,895.8,861.5,771.5,80.7,619.3,700,1023,1103.7,560.6,60.6
2017/10/12,882,909,866,873,184300,873,889,866.2,775.8,77.6,633.3,710.9,1021.5,1099.1,554.7,54.7
2017/10/13,873,875,835,844,175900,844,875.4,867.5,779.4,77,636.6,713.6,1021.4,1098.4,549.8,49.8
2017/10/19,827,844,817,819,47000,819,857.6,865.9,782.4,77.6,633.2,710.8,1021,1098.6,544.2,44.2
2017/10/20,821,833,816,821,48100,821,845.2,865.5,785.1,77.8,632.2,710,1021,1098.8,538.4,38.4
2017/10/23,833,862,823,859,83900,859,843.2,866.6,789.5,77.5,634.2,711.7,1021.5,1099,534.8,34.8
2017/10/24,859,859,825,841,87600,841,836.8,867.7,793.2,76.9,637.1,714,1021.4,1098.3,525.5,25.5
2017/10/25,845,845,825,825,56900,825,833,868,796.1,76.7,637.9,714.6,1021.4,1098.1,514.5,14.5
2017/10/26,825,842,825,836,35900,836,836.4,869.8,799.5,75.3,643.8,719.2,1020.4,1095.8,501.8,1.8
2017/10/27,840,866,832,845,99400,845,841.2,872.4,803.2,73.1,653.2,726.2,1018.6,1091.6,488.2,-11.8
2017/10/30,995,995,995,995,56700,995,868.4,881.2,810.2,74.2,658.7,732.9,1029.5,1103.7,484.3,-15.7
2017/10/31,1049,1108,1009,1058,3687500,1058,911.8,893.2,818.6,77.5,660.7,738.2,1048.2,1125.7,484.5,-15.5
2017/11/1,1058,1134,1024,1116,1510900,1116,970,907.2,828.3,85,652.3,737.3,1077.1,1162.1,484.5,-15.5
2017/11/2,1095,1147,1060,1093,896300,1093,1021.4,920.6,837.3,86.8,660.2,747,1094.2,1181,484.5,-15.5
2017/11/6,1089,1090,980,1005,639700,1005,1053.4,924.5,844.7,88.3,659.5,747.8,1101.2,1189.5,493.7,-6.3
2017/11/7,997,1025,974,974,236600,974,1049.2,923,851.4,87.1,661.8,748.9,1097.1,1184.2,506.9,6.9
2017/11/8,989,1032,982,1009,450400,1009,1039.4,923.4,857.8,87.5,660.9,748.4,1098.4,1185.9,522.4,22.4
2017/11/9,1021,1044,955,991,348400,991,1014.4,922.8,863.7,86.9,662,748.9,1096.7,1183.6,537,37
2017/11/10,981,1031,971,1013,225300,1013,998.4,925,870.4,88.6,659.3,747.9,1102.1,1190.7,546.1,46.1
2017/11/13,1017,1043,990,1032,158100,1032,1003.8,929.6,876.9,91.1,656.4,747.4,1111.8,1202.8,553.7,53.7
2017/11/14,1048,1089,1001,1003,403900,1003,1009.6,933.2,882.7,92.2,656.7,748.9,1117.5,1209.7,558.9,58.9
2017/11/15,993,1008,933,948,258500,948,997.4,934.9,887.1,92,658.8,750.8,1119,1211,560.6,60.6
2017/11/16,940,1009,940,995,149800,995,998.2,938.2,892.7,92.7,660.2,752.9,1123.5,1216.2,561.6,61.6
