code,date,open,high,low,close,volume,adj_close
5301,2017/09/26,854,868,853,861,2072900,861
5301,2017/09/27,871,919,870,918,5536100,918
5301,2017/09/28,1040,1068,1007,1055,15515200,1055
5301,2017/09/29,1056,1110,1017,1058,9693200,1058
5301,2017/10/02,1063,1063,1036,1054,3434100,1054
5301,2017/10/03,1084,1088,1056,1070,3773200,1070
5301,2017/10/04,1063,1093,1056,1081,3634500,1081
5301,2017/10/05,1068,1076,1054,1059,2712500,1059
5301,2017/10/06,1077,1120,1061,1080,4640900,1080
5301,2017/10/10,1090,1093,1061,1078,3012700,1078
5301,2017/10/11,1120,1178,1109,1175,7271000,1175
5301,2017/10/12,1175,1182,1131,1138,5191600,1138
5301,2017/10/13,1118,1133,1099,1126,5516900,1126
5301,2017/10/16,1128,1129,1084,1097,4621100,1097
5301,2017/10/17,1098,1107,1076,1087,2687500,1087
5301,2017/10/18,1074,1085,1054,1055,3205800,1055
5301,2017/10/19,1041,1060,1038,1046,3366800,1046
5301,2017/10/20,1042,1065,1034,1061,3929500,1061
5301,2017/10/23,1089,1105,1080,1090,3993700,1090
5301,2017/10/24,1080,1111,1073,1103,3293800,1103
5301,2017/10/25,1119,1146,1107,1115,3794100,1115
5301,2017/10/26,1108,1118,1104,1111,1917000,1111
5301,2017/10/27,1131,1133,1093,1102,2615000,1102
5301,2017/10/30,1098,1100,1076,1087,2656500,1087
5301,2017/10/31,1093,1130,1092,1124,3066400,1124
5301,2017/11/01,1126,1163,1110,1153,4017700,1153
5301,2017/11/02,1178,1213,1164,1190,5417800,1190
5301,2017/11/06,1250,1266,1167,1168,7445100,1168
5301,2017/11/07,1199,1210,1171,1206,5928300,1206
5301,2017/11/08,1201,1201,1165,1178,4216800,1178
5301,2017/11/09,1175,1178,1113,1143,6670900,1143
5301,2017/11/10,1129,1146,1119,1140,3557500,1140
5301,2017/11/13,1133,1145,1114,1115,2201800,1115
5301,2017/11/14,1109,1120,1064,1067,6485800,1067
5301,2017/11/15,1067,1087,1054,1068,4689500,1068
5301,2017/11/16,1062,1138,1060,1132,4528900,1132
5301,2017/11/17,1145,1176,1135,1150,5190600,1150
5301,2017/11/20,1143,1187,1143,1154,2799500,1154
5301,2017/11/21,1176,1185,1158,1161,2431400,1161
5301,2017/11/22,1166,1214,1153,1206,3967500,1206
5301,2017/11/24,1182,1198,1166,1179,2355300,1179
5301,2017/11/27,1185,1187,1150,1169,2129200,1169
5301,2017/11/28,1169,1179,1155,1158,2315600,1158
5301,2017/11/29,1159,1176,1145,1175,3293800,1175
5301,2017/11/30,1191,1203,1170,1187,3530500,1187
5301,2017/12/01,1181,1194,1153,1160,2220600,1160
5301,2017/12/04,1168,1239,1166,1233,5950000,1233
5301,2017/12/05,1223,1232,1196,1228,2815100,1228
5301,2017/12/06,1216,1231,1178,1191,3495500,1191
5301,2017/12/07,1188,1217,1181,1214,3003500,1214
5301,2017/12/08,1210,1214,1182,1191,3521000,1191
5301,2017/12/11,1201,1210,1187,1208,1621400,1208
5301,2017/12/12,1210,1219,1161,1168,2512300,1168
5301,2017/12/13,1164,1165,1124,1128,3982700,1128
5301,2017/12/14,1122,1144,1122,1133,2193700,1133
5301,2017/12/15,1284,1337,1267,1306,14912000,1306
5301,2017/12/18,1305,1350,1300,1342,6632200,1342
5301,2017/12/19,1324,1326,1288,1290,4104400,1290
5301,2017/12/20,1288,1342,1287,1338,3016100,1338
5301,2017/12/21,1311,1348,1301,1342,3454600,1342
5301,2017/12/22,1335,1363,1330,1356,4298300,1356
5301,2017/12/25,1388,1415,1379,1411,4912400,1411
5301,2017/12/26,1402,1415,1377,1402,3236900,1402
5301,2017/12/27,1396,1414,1381,1387,2905300,1387
5301,2017/12/28,1375,1426,1364,1384,4026000,1384
5301,2017/12/29,1414,1428,1385,1395,3852600,1395
5301,2018/01/04,1428,1547,1425,1504,6783600,1504
5301,2018/01/05,1515,1524,1490,1522,4036100,1522
5301,2018/01/09,1602,1638,1559,1603,7465600,1603
5301,2018/01/10,1642,1645,1515,1563,10989000,1563
5301,2018/01/11,1580,1692,1556,1680,10751100,1680
5301,2018/01/12,1681,1749,1671,1718,8481900,1718
